,,,,,,,,,,,,,
,SEGREDO DE JUSTIÇA,,,,,,,,,,,,
,Endereço das ERBs originadas/recebidas   Ref. 38703\2019 - TBRA - VIVO SP,,,,,,,,,,,,
,Linha:79996479713    Período:26/01/2019 00:00:00 a 26/03/2019 21:43:10    Data Solicitação:26/03/2019,,,,,,,,,,,,
,,,,,,,,,,,,,
CGI,CCC,Sigla,ERB,Sigla,Set,Azi,Tecnologia,Latitude,Longitude,UF,Cidade,Bairro,Endereço
724-11-00479-09673,7569,MWFAJUB,967,GUUB1,3,280,GSM,"-11-23-01,68","-37-39-23,93",SE,UMBAÚBA,CENTRO,"PRAÇA RUI SOARES, Nº 178"
724-11-01479-09703,7569,MWFAJUB,970,GPED1,3,225,GSM,"-11-11-24,57","-37-43-55,71",SE,PEDRINHAS,FAZENDA MATA VERDE,"FAZENDA MATA VERDE, ESTAÇÃO REPETIDORA EMBRATEL"
724-11-00479-09711,7569,MWFAJUB,971,GCSP1,1,40,GSM,"-11-28-32,58","-37-45-18,13",SE,CRISTINÁPOLIS,Centro,"PRAÇA DA BANDEIRA, Nº 33"
724-11-00479-09712,7569,MWFAJUB,971,GCSP1,2,160,GSM,"-11-28-32,58","-37-45-18,13",SE,CRISTINÁPOLIS,Centro,"PRAÇA DA BANDEIRA, Nº 33"
724-11-00479-09713,7569,MWFAJUB,971,GCSP1,3,280,GSM,"-11-28-32,58","-37-45-18,13",SE,CRISTINÁPOLIS,Centro,"PRAÇA DA BANDEIRA, Nº 33"
724-11-00479-09716,7569,MWFAJUB,971,GCSP1,6,160,GSM,"-11-28-32,58","-37-45-18,13",SE,CRISTINÁPOLIS,Centro,"PRAÇA DA BANDEIRA, Nº 33"
724-11-00479-09732,7569,MWFAJUB,973,GINN1,2,180,GSM,"-11-16-30,98","-37-47-19,32",SE,ITABAIANINHA,CENTRO,"RUA BENÍCIO FREIRE, Nº 25"
724-11-00479-09733,7569,MWFAJUB,973,GINN1,3,300,GSM,"-11-16-30,98","-37-47-19,32",SE,ITABAIANINHA,CENTRO,"RUA BENÍCIO FREIRE, Nº 25"
724-11-00479-09863,7569,MWFAJUB,986,GUUC1,3,280,GSM,"-11-22-48,80","-37-39-45,20",SE,UMBAÚBA,CENTRO,"RUA ANICETO LIMA, S/N"
724-11-00479-09891,7569,MWFAJUB,989,GTCD1,1,50,GSM,"-11-10-55,70","-37-59-52,30",SE,TOBIAS BARRETO,CENTRO,"PRAÇA PROFESSORA ESTER LEMOS, S/N - BAIRRO CENTRO"
724-11-30579-34471,7569,MWFAJUB,3447,WSUL1,1,50,WCDMA,"-11-29-23,89","-37-44-35,38",SE,CRISTINÁPOLIS,POVOADO MANOEL JOAQUIM,"RUA POVOADO MANOEL JOAQUIM, S/N"
724-11-30579-34472,7569,MWFAJUB,3447,WSUL1,2,140,WCDMA,"-11-29-23,89","-37-44-35,38",SE,CRISTINÁPOLIS,POVOADO MANOEL JOAQUIM,"RUA POVOADO MANOEL JOAQUIM, S/N"
724-11-30579-34475,7569,MWFAJUB,3447,WSUL1,5,50,WCDMA,"-11-29-23,89","-37-44-35,38",SE,CRISTINÁPOLIS,POVOADO MANOEL JOAQUIM,"RUA POVOADO MANOEL JOAQUIM, S/N"
724-11-30579-34476,7569,MWFAJUB,3447,WSUL1,6,140,WCDMA,"-11-29-23,89","-37-44-35,38",SE,CRISTINÁPOLIS,POVOADO MANOEL JOAQUIM,"RUA POVOADO MANOEL JOAQUIM, S/N"
724-11-40379-34791,7569,MWFAJUB,3479,WTDG2,1,100,WCDMA,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-40379-34792,7569,MWFAJUB,3479,WTDG2,2,260,WCDMA,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-40379-34793,7569,MWFAJUB,3479,WTDG2,3,340,WCDMA,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-40379-34795,7569,MWFAJUB,3479,WTDG2,5,100,WCDMA,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-40379-34796,7569,MWFAJUB,3479,WTDG2,6,260,WCDMA,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-40379-34797,7569,MWFAJUB,3479,WTDG2,7,340,WCDMA,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-40379-34831,7569,MWFAJUB,3483,WUUC2,1,40,WCDMA,"-11-22-48,80","-37-39-45,20",SE,UMBAÚBA,CENTRO,"RUA ANICETO LIMA, S/N"
724-11-40379-34833,7569,MWFAJUB,3483,WUUC2,3,280,WCDMA,"-11-22-48,80","-37-39-45,20",SE,UMBAÚBA,CENTRO,"RUA ANICETO LIMA, S/N"
724-11-40379-34835,7569,MWFAJUB,3483,WUUC2,5,40,WCDMA,"-11-22-48,80","-37-39-45,20",SE,UMBAÚBA,CENTRO,"RUA ANICETO LIMA, S/N"
724-11-40379-34837,7569,MWFAJUB,3483,WUUC2,7,280,WCDMA,"-11-22-48,80","-37-39-45,20",SE,UMBAÚBA,CENTRO,"RUA ANICETO LIMA, S/N"
724-11-40379-34872,7569,MWFAJUB,3487,WEPS2,2,150,WCDMA,"-11-16-10,01","-37-26-20,69",SE,ESTÂNCIA,CENTRO,"RUA DOUTOR PEDRO SOARES, S/N - BAIRRO CENTRO"
724-11-40379-34876,7569,MWFAJUB,3487,WEPS2,6,150,WCDMA,"-11-16-10,01","-37-26-20,69",SE,ESTÂNCIA,CENTRO,"RUA DOUTOR PEDRO SOARES, S/N - BAIRRO CENTRO"
724-11-40379-34877,7569,MWFAJUB,3487,WEPS2,7,310,WCDMA,"-11-16-10,01","-37-26-20,69",SE,ESTÂNCIA,CENTRO,"RUA DOUTOR PEDRO SOARES, S/N - BAIRRO CENTRO"
724-11-30579-35281,7569,MWFAJUB,3528,WCSP2,1,40,WCDMA,"-11-28-32,58","-37-45-18,13",SE,CRISTINÁPOLIS,Centro,"PRAÇA DA BANDEIRA, Nº 33"
724-11-30579-35282,7569,MWFAJUB,3528,WCSP2,2,160,WCDMA,"-11-28-32,58","-37-45-18,13",SE,CRISTINÁPOLIS,Centro,"PRAÇA DA BANDEIRA, Nº 33"
724-11-30579-35283,7569,MWFAJUB,3528,WCSP2,3,280,WCDMA,"-11-28-32,58","-37-45-18,13",SE,CRISTINÁPOLIS,Centro,"PRAÇA DA BANDEIRA, Nº 33"
724-11-40379-35321,7569,MWFAJUB,3532,WUUB2,1,40,WCDMA,"-11-23-01,68","-37-39-23,93",SE,UMBAÚBA,CENTRO,"PRAÇA RUI SOARES, Nº 178"
724-11-40379-35323,7569,MWFAJUB,3532,WUUB2,3,280,WCDMA,"-11-23-01,68","-37-39-23,93",SE,UMBAÚBA,CENTRO,"PRAÇA RUI SOARES, Nº 178"
724-11-40379-35325,7569,MWFAJUB,3532,WUUB2,5,40,WCDMA,"-11-23-01,68","-37-39-23,93",SE,UMBAÚBA,CENTRO,"PRAÇA RUI SOARES, Nº 178"
724-11-40379-35327,7569,MWFAJUB,3532,WUUB2,7,280,WCDMA,"-11-23-01,68","-37-39-23,93",SE,UMBAÚBA,CENTRO,"PRAÇA RUI SOARES, Nº 178"
724-11-40379-35335,7569,MWFAJUB,3533,WEMO2,5,80,WCDMA,"-11-15-53,10","-37-26-15,30",SE,ESTÂNCIA,CENTRO,"RUA MARECHAL DEODORO, N° 510"
724-11-40379-35336,7569,MWFAJUB,3533,WEMO2,6,160,WCDMA,"-11-15-53,10","-37-26-15,30",SE,ESTÂNCIA,CENTRO,"RUA MARECHAL DEODORO, N° 510"
